curie	label	scope	text	language	type	contributor	date
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	Bachelor of Engineering (BE)	en		orcid:0000-0003-4423-4370	2024-10-29
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	Bachelors of Engineering	en		orcid:0000-0003-4423-4370	2024-10-30
QUALO:0000028	bachelor of engineering	oboInOwl:hasRelatedSynonym	Dipl.-Ing.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	B.E.	en	OMO:0003000	orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	B.Ed	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	B.Ed.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	Bachiller en Educación	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	Licenciatura em Pedagogia	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	S.Pd	id	OMO:0003000	orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	bachelorofeducation	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	sarjana pendidikan	id		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000030	bachelor of architecture	oboInOwl:hasExactSynonym	B.Arch	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	A.B.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	Artium Baccalaureus	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	BA	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	Bachelor of Arts (B.A.)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	Bachelors of Arts	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000032	bachelor of law	oboInOwl:hasExactSynonym	Bacharel em Direito	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000032	bachelor of law	oboInOwl:hasExactSynonym	Bacharelado em Direito	pt		orcid:0000-0003-4423-4370	2024-10-27
